ID,Acquéreur,Ticker,Cible,Date d’annonce,Date_affichage
11,Citicorp,C,Travelers Group,1998-04-06,1998-04-06
10,Exxon Corp,XOM,Mobil,1998-12-01,1998-12-01
13,Pfizer Inc.,PFE,Warner-Lambert,1999-11-04,1999-11-04
15,Vodafone Group,VOD,Mannesmann,1999-11-14,1999-11-14
12,Glaxo Wellcome,GSK,SmithKline Beecham,2000-01-17,2000-01-17
207,Oracle,ORCL,PeopleSoft,2003-06-06,2003-06-06
206,Disney,DIS,Pixar Animation Studios,2006-01-24,2006-01-24
210,JPMorgan Chase,JPM,Bear Stearns,2008-03-16,2008-03-16
202,Google (Alphabet),GOOGL,Motorola Mobility,2011-08-15,2011-08-15
201,Facebook (Meta),META,Instagram,2012-04-09,2012-04-09
14,Verizon Communications,VZ,Vodafone (45% Verizon Wireless),2013-09-02,2013-09-02
103,Meta Platforms,META,WhatsApp,2014-02-19,2014-02-19
212,Facebook (Meta),META,Oculus VR,2014-03-25,2014-03-25
211,AT&T,T,DirecTV,2014-05-18,2014-05-18
102,Apple,AAPL,Beats Electronics,2014-05-28,2014-05-28
108,Publicis,PUB.PA,Sapient,2014-11-03,2014-11-03
16,Royal Dutch Shell,SHEL,BG Group,2015-04-08,2015-04-08
110,Nokia,NOK,Alcatel-Lucent,2015-04-15,2015-04-15
5,Anheuser-Busch InBev,BUD,SABMiller,2015-09-15,2015-09-15
22,Dell Technologies,DELL,EMC Corp,2015-10-12,2015-10-12
105,Pfizer,PFE,Allergan,2015-11-23,2015-11-23
9,Dow Inc.,DOW,DuPont,2015-12-11,2015-12-11
104,Microsoft,MSFT,LinkedIn,2016-06-13,2016-06-13
106,Danone,BN.PA,WhiteWave,2016-07-07,2016-07-07
209,Bayer,BAYN.DE,Monsanto,2016-09-14,2016-09-14
6,AT&T Inc.,T,Time Warner,2016-10-22,2016-10-22
114,Samsung Electronics,SSNLF,Harman,2016-11-14,2016-11-14
109,Safran,SAF.PA,Zodiac Aerospace,2017-01-19,2017-01-19
101,Amazon,AMZN,Whole Foods Market,2017-06-16,2017-06-16
23,CVS Health Corp,CVS,Aetna,2017-12-03,2017-12-03
18,The Walt Disney Company,DIS,21st Century Fox (assets),2017-12-14,2017-12-14
17,Comcast Corp,CMCSA,Sky plc,2018-04-25,2018-04-25
111,Takeda,TAK,Shire,2018-05-08,2018-05-08
204,Microsoft,MSFT,GitHub,2018-06-04,2018-06-04
208,IBM,IBM,Red Hat,2018-10-28,2018-10-28
107,Dassault Systemes,DSY.PA,Medidata,2019-06-03,2019-06-03
8,United Technologies,UTX,Raytheon,2019-06-09,2019-06-09
205,Salesforce,CRM,Tableau Software,2019-06-10,2019-06-10
113,Alphabet,GOOGL,Fitbit,2019-11-01,2019-11-01
24,Analog Devices,ADI,Maxim Integrated,2020-07-13,2020-07-13
21,NVIDIA Corp*,NVDA,Arm Holdings,2020-09-13,2020-09-13
7,S&P Global Inc.,SPGI,IHS Markit,2020-11-30,2020-11-30
20,Salesforce Inc.,CRM,Slack Technologies,2020-12-01,2020-12-01
203,Amazon,AMZN,MGM Holdings,2021-05-26,2021-05-26
19,Oracle Corp,ORCL,Cerner,2021-12-20,2021-12-20
1,Microsoft Corp,MSFT,Activision Blizzard,2022-01-18,2022-01-18
25,Toronto-Dominion Bank*,TD,First Horizon,2022-02-28,2022-02-28
2,Broadcom Inc.,AVGO,VMware,2022-05-26,2022-05-26
3,Exxon Mobil Corp,XOM,Pioneer Natural Resources,2023-10-11,2023-10-11
4,Chevron Corp,CVX,Hess Corporation,2023-10-23,2023-10-23
27,Alcoa Corp,AA,Alumina Limited,2024-02-26,2024-02-26
26,EQT Corp,EQT,Equitrans Midstream,2024-03-11,2024-03-11
28,AstraZeneca,AZN,Amolyt Pharma,2024-06-24,2024-06-24
